term,definition,domain,data_owner,data_steward,golden_source,related_columns,why_it_matters
Assets under custody and administration (AUC/A),Total market value of client assets the bank safekeeps or administers; not the bank's own assets.,Custody,Head of Investment Servicing,Finance reporting steward,Custody book of record,fact_positions.market_value_usd,Headline scale metric; basis for servicing fees.
Position,Quantity of one security held in one account as of one business date.,Custody,Head of Custody Operations,Positions steward,Custody book of record,"fact_positions.quantity, fact_positions.position_date",The grain of the holdings screen and every valuation.
Market value (USD),Position quantity times price times FX rate to USD as of the business date.,Custody,Head of Custody Operations,Pricing steward,Pricing engine,"fact_positions.price_local, fact_positions.fx_to_usd, fact_positions.market_value_usd",Clients reconcile this against their own systems daily.
Settlement status,Lifecycle state of a trade instruction: MATCHED / AFFIRMED / PENDING / SETTLED / FAILED.,Settlements,Head of Settlements,Settlements steward,Settlement engine,fact_trades.status,Drives the exceptions screen and fail penalties.
Fail,A trade not settled on its intended settlement date because one side was not ready; it is late not cancelled.,Settlements,Head of Settlements,Settlements steward,Settlement engine,"fact_trades.status='FAILED', fact_trades.fail_reason",Penalty fines (CSDR in Europe) and client escalations.
Affirmation,Client's same-day confirmation that trade details are correct; US cutoff 21:00 ET on trade date since T+1.,Settlements,Head of Settlements,Settlements steward,Matching platform,fact_trades.affirmed_at,Late affirmation is the leading indicator of a fail.
NAV per share,(Total assets minus liabilities) divided by shares outstanding for a fund on a valuation date.,Fund accounting,Head of Fund Accounting,NAV steward,Fund accounting system,fact_nav.nav_per_share,Investors transact at this number; errors above threshold trigger compensation.
Corporate action election,The client's instruction on a voluntary corporate action; must arrive before the custodian's client deadline.,Corporate actions,Head of Corporate Actions,CA steward,Corporate actions platform,"fact_corporate_actions.election_status, fact_corporate_actions.client_deadline",Missed elections are custody's classic multi-million loss.
Client deadline,The custodian's own cutoff for an election; earlier than the market deadline to allow processing.,Corporate actions,Head of Corporate Actions,CA steward,Corporate actions platform,fact_corporate_actions.client_deadline,The date alerts must escalate towards.
Entitlement,A grant of a permission (VIEW / INSTRUCT / ADMIN) on one account to one user.,Digital Experience,VP Digital Experience,IAM steward,Identity platform,"fact_user_entitlements.permission, fact_user_entitlements.expires_at",Enforced in every query; a cross-client grant is a security incident.
Federated user,A user authenticated by the client's own identity provider via SSO rather than credentials issued by the bank.,Digital Experience,VP Digital Experience,IAM steward,Identity platform,dim_user.sso_provider,Federation shifts credential risk to the client and improves usability.
Alert,A notification generated by an event (fail; deadline; NAV delay; cash shortfall) and sent to a user on a channel.,Digital Experience,VP Digital Experience,Notifications steward,Notification framework,"fact_alerts.alert_type, fact_alerts.channel",Volume without acknowledgement is spam; silence is risk.
Acknowledged alert,An alert a user has explicitly actioned in the portal or via API; delivery alone is not acknowledgement.,Digital Experience,VP Digital Experience,Notifications steward,Notification framework,fact_alerts.acknowledged_at,The only measure of whether alerting works.
Published document,A generated document made visible to entitled users on the portal at published_at.,Digital Experience,VP Digital Experience,Documents steward,Document platform,fact_documents.published_at,Generated is not delivered; published is not read.
Retention date,Regulatory date before which a document may not be deleted.,Digital Experience,Head of Compliance,Records steward,Document platform,fact_documents.retention_until,Deleting early is a regulatory breach.
Self-service report run,A report executed by a client user directly in the portal or API rather than by the service desk on their behalf.,Digital Experience,VP Digital Experience,Reporting steward,Reporting platform,fact_report_runs.run_type,The JD's adoption outcome expressed as a number.
Self-service ratio,Self-service runs divided by all ad-hoc runs (self-service plus service desk) for a period.,Digital Experience,VP Digital Experience,Reporting steward,Reporting platform,fact_report_runs.run_type,Scorecard metric; target agreed per client.
Freshness SLA,The promised time by which a data set is available for a business date (e.g. positions by 06:00).,Enterprise data,Chief Data Officer,Platform steward,Data platform,fact_positions.loaded_at,Clients plan their morning around it; breaches must be visible.
